Season,Episode,Title,US_Viewers
6,10,"The Winds of Winter",8.89
6,1,"The Red Woman",7.94
6,5,"The Door",7.89
6,4,"Book of the Stranger",7.82
6,7,"The Broken Man",7.8
6,9,"Battle of the Bastards",7.66
6,8,"No One",7.6
6,2,Home,7.29
6,3,Oathbreaker,7.28
6,6,"Blood of My Blood",6.71
